year,month,marketplace_name,product_name,total_orders,total_items_sold,total_revenue
2024,10,tiktok,Gendes Sweet Aromatic Spray with Bubble Gum 7 Miracle Bioactives,108,115,7240594.00
2024,11,tiktok,Gendes Paket Promo Bundling Feminine Wash Foam Mango dan Sweet Aromatic Feminine Care Spray,64,65,7157338.00
2024,8,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Vanilla 5 Miracle Bioactives Meyeimbangkan PH 50 ml,93,97,6988495.00
2024,6,shopee,Gendes Sweet Aromatic Feminine Care with Vanilla 7 Miracle Bioactives Merawat Kewanitaan 23 ml,135,135,6838431.00
2024,9,shopee,Gendes Sweet Aromatic Feminine Care with Bubble Gum 7 Miracle Bioactives Merawat Kewanitaan 23 ml,134,137,6837419.00
2024,9,shopee,Gendes Sweet Aromatic Feminine Care with Vanilla 7 Miracle Bioactives Merawat Kewanitaan 23 ml,125,129,6813453.00
2024,9,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Vanilla 5 Miracle Bioactives Meyeimbangkan PH 50 ml,85,92,6736035.00
2024,12,tiktok,GENDES 2 Sweet Aromatic Spray promo bundling - Perawatan Area Sekitar dengan 7 Miracle Bioaktives - Hygiene,53,55,6491366.00
2024,9,tiktok,Gendes Sweet Aromatic Wash Foam With Vanilla || 5 Miracle Bioactives,70,75,6458470.00
2024,9,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Bubble Gum dan Spray,54,54,6440996.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Vanilla 5 Miracle Bioactives Meyeimbangkan PH 50 ml,75,80,6347853.00
2024,6,tiktok,PROMO BUNDLING GENDES HANYA 97RB SAJA || PAKET 2 SPRAY Mengencangkan,54,54,6258791.00
2024,12,tiktok,Gendes Sweet Aromatic Spray with Bubble Gum 7 Miracle Bioactives,97,99,6217414.00
2024,11,tiktok,Promo Bundling Gendes 2 Sweet Aromatic spray,33,38,6096248.00
2024,11,tiktok,Gendes Sweet Aromatic Spray with Bubble Gum 7 Miracle Bioactives,89,94,6036736.00
2024,5,shopee,PROMO BUNDLING GENDES HANYA 97RB SAJA || PAKET 2 SPRAY,73,73,5809603.00
2024,10,tiktok,Gendes Sweet Aromatic Wash Foam With Vanilla || 5 Miracle Bioactives,70,74,5771045.00
2024,11,shopee,Gendes Sweet Aromatic Feminine Care with Vanilla 7 Miracle Bioactives Merawat Kewanitaan 23 ml,115,116,5727304.00
2024,11,tiktok,Gendes Sweet Aromatic Wash Foam With Vanilla || 5 Miracle Bioactives,57,63,5693310.00
2024,12,tiktok,Gendes Paket Promo Bundling Feminine Wash Foam Mango dan Sweet Aromatic Feminine Care Spray,49,50,5678557.00
2024,11,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Vanilla 5 Miracle Bioactives Meyeimbangkan PH 50 ml,80,86,5652504.00
2024,9,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Bubble Gum dan Sweet Aromatic Feminine Care Spray,60,61,5429008.00
2024,12,tiktok,Gendes Paket Promo Bundling Feminine Wash Foam Bubble Gum dan Sweet Aromatic Feminine Care Spray,45,46,5419677.00
